time,platform_code,platform_type,country
2021-07-08 12:22:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 14:04:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 15:42:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 17:35:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 19:12:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 21:08:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 22:36:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 00:25:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 02:01:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 03:48:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 05:20:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 07:10:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 08:30:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 10:10:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 11:33:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 13:12:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 15:45:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 16:52:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 18:10:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 19:13:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 20:28:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 21:28:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 22:42:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-09 23:42:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 00:00:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 00:53:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 01:48:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 03:03:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 04:00:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 05:10:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 06:09:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 07:23:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 08:31:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 09:43:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 10:52:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 12:16:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 13:19:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 14:17:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 14:53:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 15:41:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 16:13:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 17:03:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 17:55:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 19:03:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 20:11:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 21:12:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 21:59:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-10 23:16:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 00:00:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 00:13:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 01:28:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 02:39:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 04:29:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 05:51:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-11 07:12:00+00:00,4802960,GLIDERS,UNITED STATES
